_id,Drug_A,Drug_B,Description,Level
6906e7a08388be473afb438c,Abacavir,Alcohol,"Additive liver toxicity risk, especially in hepatic impairment",Moderate
6906e7a08388be473afb438b,Abacavir,Alcohol,"Additive liver toxicity risk, especially in hepatic impairment",Moderate
6906e7a08388be473afb4391,Abacavir,Alcohol,"Additive liver toxicity risk, especially in hepatic impairment",Moderate
6906e7a08388be473afb4392,Abacavir,Alcohol,"Additive liver toxicity risk, especially in hepatic impairment",Moderate
6906e7a08388be473afb438d,Abacavir,Alcohol,"Additive liver toxicity risk, especially in hepatic impairment",Moderate
6906e7a08388be473afb4393,Abacavir,Alcohol,"Additive liver toxicity risk, especially in hepatic impairment",Moderate
6906e7a08388be473afb438a,Abacavir,Alcohol,"Additive liver toxicity risk, especially in hepatic impairment",Moderate
6906e7a08388be473afb438e,Abacavir,Alcohol,"Additive liver toxicity risk, especially in hepatic impairment",Moderate
6906e7a08388be473afb438f,Abacavir,Alcohol,"Additive liver toxicity risk, especially in hepatic impairment",Moderate
6906e7a08388be473afb4390,Abacavir,Alcohol,"Additive liver toxicity risk, especially in hepatic impairment",Moderate
